portable operating systems
90. cacm\CACM-2249.html score=0.12392385
91. cacm\CACM-1030.html score=0.1231686
92. cacm\CACM-0693.html score=0.12267449
93. cacm\CACM-1786.html score=0.121533155
94. cacm\CACM-3175.html score=0.121533155
95. cacm\CACM-3064.html score=0.12141173
96. cacm\CACM-1735.html score=0.12019147
97. cacm\CACM-3167.html score=0.12019147
98. cacm\CACM-1066.html score=0.11936338
99. cacm\CACM-1345.html score=0.11936338
100. cacm\CACM-2262.html score=0.1168706

parallel algorithms

1. cacm\CACM-2973.html score=1.0088185
2. cacm\CACM-3075.html score=0.9137456
3. cacm\CACM-2266.html score=0.8261164
4. cacm\CACM-1601.html score=0.76765776
5. cacm\CACM-2557.html score=0.71334237
6. cacm\CACM-0950.html score=0.68843037
7. cacm\CACM-1468.html score=0.68843037
8. cacm\CACM-3156.html score=0.68843037
9. cacm\CACM-2433.html score=0.594452
10. cacm\CACM-2570.html score=0.594452
11. cacm\CACM-2289.html score=0.5686563
12. cacm\CACM-1957.html score=0.5663724
13. cacm\CACM-2838.html score=0.5339811
14. cacm\CACM-2692.html score=0.48292387
15. cacm\CACM-2114.html score=0.47197703
16. cacm\CACM-0141.html score=0.41395304
17. cacm\CACM-0392.html score=0.41395304
18. cacm\CACM-1302.html score=0.41395304
19. cacm\CACM-2685.html score=0.40970725
20. cacm\CACM-2723.html score=0.37758163
21. cacm\CACM-2896.html score=0.35849383
22. cacm\CACM-1262.html score=0.35481688
23. cacm\CACM-1367.html score=0.35481688
24. cacm\CACM-1828.html score=0.35481688
25. cacm\CACM-2182.html score=0.35481688
26. cacm\CACM-2700.html score=0.35481688
27. cacm\CACM-1158.html score=0.33452457
28. cacm\CACM-2714.html score=0.31291908
29. cacm\CACM-2785.html score=0.30728042
30. cacm\CACM-0371.html score=0.29918474
31. cacm\CACM-1795.html score=0.29568073
32. cacm\CACM-2952.html score=0.29568073
33. cacm\CACM-2895.html score=0.292709
34. cacm\CACM-1811.html score=0.2897068
35. cacm\CACM-1660.html score=0.28207406
36. cacm\CACM-1952.html score=0.28207406
37. cacm\CACM-2007.html score=0.28207406
38. cacm\CACM-2342.html score=0.2644649
39. cacm\CACM-2401.html score=0.25606704
40. cacm\CACM-2865.html score=0.25606704
41. cacm\CACM-3059.html score=0.25606704
42. cacm\CACM-2080.html score=0.2508934
43. cacm\CACM-3073.html score=0.2508934
44. cacm\CACM-1796.html score=0.2493206
45. cacm\CACM-0270.html score=0.2468148
46. cacm\CACM-0804.html score=0.2468148
47. cacm\CACM-1342.html score=0.2468148
48. cacm\CACM-2226.html score=0.2468148
49. cacm\CACM-2325.html score=0.2468148
50. cacm\CACM-1569.html score=0.2365446
51. cacm\CACM-3044.html score=0.2365446
52. cacm\CACM-2884.html score=0.23321806
53. cacm\CACM-2851.html score=0.23140681
54. cacm\CACM-2902.html score=0.21591799
55. cacm\CACM-2950.html score=0.21591799
56. cacm\CACM-3166.html score=0.21591799
57. cacm\CACM-1551.html score=0.21374789
58. cacm\CACM-1374.html score=0.21155554
59. cacm\CACM-1658.html score=0.21155554
60. cacm\CACM-1851.html score=0.21155554
61. cacm\CACM-1953.html score=0.21155554
62. cacm\CACM-2417.html score=0.21155554
63. cacm\CACM-2505.html score=0.21155554
64. cacm\CACM-2725.html score=0.21155554
65. cacm\CACM-2830.html score=0.21155554
66. cacm\CACM-2863.html score=0.21155554
67. cacm\CACM-3061.html score=0.21155554
68. cacm\CACM-2740.html score=0.20907786
69. cacm\CACM-1008.html score=0.20697652
70. cacm\CACM-1380.html score=0.20697652
71. cacm\CACM-2727.html score=0.20697652
72. cacm\CACM-1747.html score=0.20485362
73. cacm\CACM-1846.html score=0.20485362
74. cacm\CACM-2175.html score=0.20485362
75. cacm\CACM-2195.html score=0.20485362
76. cacm\CACM-1873.html score=0.19945648
77. cacm\CACM-1924.html score=0.19710524
78. cacm\CACM-2146.html score=0.19710524
79. cacm\CACM-2273.html score=0.19710524
80. cacm\CACM-2283.html score=0.19710524
81. cacm\CACM-2903.html score=0.19710524
82. cacm\CACM-3006.html score=0.19710524
83. cacm\CACM-1392.html score=0.18321247
84. cacm\CACM-2490.html score=0.18321247
85. cacm\CACM-2679.html score=0.18321247
86. cacm\CACM-1200.html score=0.17740844
87. cacm\CACM-1341.html score=0.17740844
88. cacm\CACM-1471.html score=0.17740844
89. cacm\CACM-1536.html score=0.17740844
90. cacm\CACM-1554.html score=0.17740844
91. cacm\CACM-1603.html score=0.17740844
92. cacm\CACM-1960.html score=0.17740844
93. cacm\CACM-2514.html score=0.17740844
94. cacm\CACM-3175.html score=0.17740844
95. cacm\CACM-2025.html score=0.1762963
96. cacm\CACM-2222.html score=0.1762963
97. cacm\CACM-2236.html score=0.1762963
98. cacm\CACM-2362.html score=0.1762963
99. cacm\CACM-2426.html score=0.1762963
100. cacm\CACM-2520.html score=0.1762963


parallel processor in information retrieval

1. cacm\CACM-2967.html score=0.7082254
2. cacm\CACM-2973.html score=0.5330611
3. cacm\CACM-1811.html score=0.51177335
4. cacm\CACM-0634.html score=0.47785187
5. cacm\CACM-0891.html score=0.41518122
6. cacm\CACM-2288.html score=0.40007916
7. cacm\CACM-1927.html score=0.38666227
8. cacm\CACM-2838.html score=0.35851765
9. cacm\CACM-1457.html score=0.35578042
10. cacm\CACM-2140.html score=0.35020137
11. cacm\CACM-1699.html score=0.34822118
12. cacm\CACM-1601.html score=0.34366482
13. cacm\CACM-2530.html score=0.34132278
14. cacm\CACM-2965.html score=0.34132278
15. cacm\CACM-2976.html score=0.34132278
16. cacm\CACM-3168.html score=0.34132278
17. cacm\CACM-3169.html score=0.34132278
18. cacm\CACM-1935.html score=0.3378923
19. cacm\CACM-2519.html score=0.32636416
20. cacm\CACM-3012.html score=0.32482263
21. cacm\CACM-2278.html score=0.3154637
22. cacm\CACM-1681.html score=0.31271085
23. cacm\CACM-2114.html score=0.3120005
24. cacm\CACM-2175.html score=0.30691025
25. cacm\CACM-2865.html score=0.29916105
26. cacm\CACM-1937.html score=0.29438117
27. cacm\CACM-2882.html score=0.28522927
28. cacm\CACM-2990.html score=0.28351814
29. cacm\CACM-2516.html score=0.28305733
30. cacm\CACM-1675.html score=0.27305824
31. cacm\CACM-2645.html score=0.27148092
32. cacm\CACM-2497.html score=0.26721078
33. cacm\CACM-2307.html score=0.2662603
34. cacm\CACM-1846.html score=0.26329422
35. cacm\CACM-2455.html score=0.26295358
36. cacm\CACM-1725.html score=0.2572509
37. cacm\CACM-1032.html score=0.25681505
38. cacm\CACM-2631.html score=0.25681505
39. cacm\CACM-1959.html score=0.2559755
40. cacm\CACM-1830.html score=0.25568587
41. cacm\CACM-1359.html score=0.25542647
42. cacm\CACM-1236.html score=0.2507608
43. cacm\CACM-2711.html score=0.2507608
44. cacm\CACM-1747.html score=0.24959369
45. cacm\CACM-1613.html score=0.24941622
46. cacm\CACM-0239.html score=0.24565716
47. cacm\CACM-0275.html score=0.24565716
48. cacm\CACM-0651.html score=0.24565716
49. cacm\CACM-1831.html score=0.24565716
50. cacm\CACM-2070.html score=0.24565716
51. cacm\CACM-2532.html score=0.24565716
52. cacm\CACM-2561.html score=0.24531764
53. cacm\CACM-2032.html score=0.23892593
54. cacm\CACM-2493.html score=0.23892593
55. cacm\CACM-1960.html score=0.23832633
56. cacm\CACM-1976.html score=0.23291053
57. cacm\CACM-2846.html score=0.23022163
58. cacm\CACM-1788.html score=0.22707391
59. cacm\CACM-3134.html score=0.22261603
60. cacm\CACM-2896.html score=0.22205634
61. cacm\CACM-2160.html score=0.22039233
62. cacm\CACM-1367.html score=0.21977878
63. cacm\CACM-2795.html score=0.21719776
64. cacm\CACM-1262.html score=0.21610773
65. cacm\CACM-2723.html score=0.21551561
66. cacm\CACM-0440.html score=0.20856614
67. cacm\CACM-1652.html score=0.20711954
68. cacm\CACM-1828.html score=0.20607825
69. cacm\CACM-2141.html score=0.20479368
70. cacm\CACM-2543.html score=0.20479368
71. cacm\CACM-0292.html score=0.2047143
72. cacm\CACM-2412.html score=0.2047143
73. cacm\CACM-2552.html score=0.2047143
74. cacm\CACM-2781.html score=0.2047143
75. cacm\CACM-2947.html score=0.20427969
76. cacm\CACM-1456.html score=0.20312296
77. cacm\CACM-2623.html score=0.20312296
78. cacm\CACM-2484.html score=0.202765
79. cacm\CACM-3135.html score=0.20197439
80. cacm\CACM-2451.html score=0.20110689
81. cacm\CACM-2722.html score=0.19743586
82. cacm\CACM-2575.html score=0.19686203
83. cacm\CACM-1108.html score=0.19457446
84. cacm\CACM-2377.html score=0.19457446
85. cacm\CACM-0406.html score=0.19209304
86. cacm\CACM-1527.html score=0.1893306
87. cacm\CACM-2991.html score=0.18778704
88. cacm\CACM-1680.html score=0.18740638
89. cacm\CACM-1194.html score=0.18609634
90. cacm\CACM-3075.html score=0.18597947
91. cacm\CACM-2714.html score=0.1854812
92. cacm\CACM-1742.html score=0.18540506
93. cacm\CACM-2388.html score=0.18319824
94. cacm\CACM-2650.html score=0.18319824
95. cacm\CACM-2746.html score=0.18319824
96. cacm\CACM-2895.html score=0.18130824
97. cacm\CACM-2266.html score=0.18030451
98. cacm\CACM-2785.html score=0.18030451
99. cacm\CACM-2046.html score=0.17937109
100. cacm\CACM-2050.html score=0.17775506
