portable operating systems
90. cacm\CACM-1352.html score=0.12610742
91. cacm\CACM-1429.html score=0.12610742
92. cacm\CACM-2365.html score=0.12610742
93. cacm\CACM-2816.html score=0.12418647
94. cacm\CACM-2249.html score=0.12392385
95. cacm\CACM-1030.html score=0.1231686
96. cacm\CACM-0693.html score=0.12267449
97. cacm\CACM-1786.html score=0.121533155
98. cacm\CACM-3175.html score=0.121533155
99. cacm\CACM-3064.html score=0.12141173
100. cacm\CACM-0164.html score=0.12103897

parallel algorithms

1. cacm\CACM-2973.html score=1.0088185
2. cacm\CACM-3075.html score=0.9137456
3. cacm\CACM-2557.html score=0.8322328
4. cacm\CACM-2266.html score=0.8261164
5. cacm\CACM-3156.html score=0.8261164
6. cacm\CACM-1601.html score=0.76765776
7. cacm\CACM-0950.html score=0.68843037
8. cacm\CACM-1468.html score=0.68843037
9. cacm\CACM-2433.html score=0.594452
10. cacm\CACM-2570.html score=0.594452
11. cacm\CACM-2289.html score=0.5686563
12. cacm\CACM-1957.html score=0.5663724
13. cacm\CACM-2838.html score=0.5339811
14. cacm\CACM-2692.html score=0.48292387
15. cacm\CACM-0141.html score=0.4730892
16. cacm\CACM-0392.html score=0.4730892
17. cacm\CACM-1302.html score=0.4730892
18. cacm\CACM-2114.html score=0.47197703
19. cacm\CACM-2723.html score=0.47197703
20. cacm\CACM-2182.html score=0.41395304
21. cacm\CACM-2685.html score=0.40970725
22. cacm\CACM-2714.html score=0.39114887
23. cacm\CACM-2896.html score=0.35849383
24. cacm\CACM-1262.html score=0.35481688
25. cacm\CACM-1367.html score=0.35481688
26. cacm\CACM-1795.html score=0.35481688
27. cacm\CACM-1828.html score=0.35481688
28. cacm\CACM-2700.html score=0.35481688
29. cacm\CACM-2007.html score=0.3525926
30. cacm\CACM-0371.html score=0.34904885
31. cacm\CACM-1158.html score=0.33452457
32. cacm\CACM-2785.html score=0.30728042
33. cacm\CACM-1796.html score=0.29918474
34. cacm\CACM-2952.html score=0.29568073
35. cacm\CACM-2895.html score=0.292709
36. cacm\CACM-1811.html score=0.2897068
37. cacm\CACM-0270.html score=0.28207406
38. cacm\CACM-0804.html score=0.28207406
39. cacm\CACM-1342.html score=0.28207406
40. cacm\CACM-1660.html score=0.28207406
41. cacm\CACM-1952.html score=0.28207406
42. cacm\CACM-2325.html score=0.28207406
43. cacm\CACM-2342.html score=0.2644649
44. cacm\CACM-2851.html score=0.2644649
45. cacm\CACM-2401.html score=0.25606704
46. cacm\CACM-2865.html score=0.25606704
47. cacm\CACM-3059.html score=0.25606704
48. cacm\CACM-2080.html score=0.2508934
49. cacm\CACM-3073.html score=0.2508934
50. cacm\CACM-1374.html score=0.2468148
51. cacm\CACM-1851.html score=0.2468148
52. cacm\CACM-1953.html score=0.2468148
53. cacm\CACM-2226.html score=0.2468148
54. cacm\CACM-2417.html score=0.2468148
55. cacm\CACM-2725.html score=0.2468148
56. cacm\CACM-2830.html score=0.2468148
57. cacm\CACM-1551.html score=0.2442833
58. cacm\CACM-1569.html score=0.2365446
59. cacm\CACM-3044.html score=0.2365446
60. cacm\CACM-2884.html score=0.23321806
61. cacm\CACM-2902.html score=0.21591799
62. cacm\CACM-2950.html score=0.21591799
63. cacm\CACM-3166.html score=0.21591799
64. cacm\CACM-1658.html score=0.21155554
65. cacm\CACM-2025.html score=0.21155554
66. cacm\CACM-2222.html score=0.21155554
67. cacm\CACM-2362.html score=0.21155554
68. cacm\CACM-2505.html score=0.21155554
69. cacm\CACM-2863.html score=0.21155554
70. cacm\CACM-2942.html score=0.21155554
71. cacm\CACM-3061.html score=0.21155554
72. cacm\CACM-2740.html score=0.20907786
73. cacm\CACM-1008.html score=0.20697652
74. cacm\CACM-1200.html score=0.20697652
75. cacm\CACM-1380.html score=0.20697652
76. cacm\CACM-2727.html score=0.20697652
77. cacm\CACM-1747.html score=0.20485362
78. cacm\CACM-1846.html score=0.20485362
79. cacm\CACM-2175.html score=0.20485362
80. cacm\CACM-2195.html score=0.20485362
81. cacm\CACM-1873.html score=0.19945648
82. cacm\CACM-2272.html score=0.19945648
83. cacm\CACM-1924.html score=0.19710524
84. cacm\CACM-2146.html score=0.19710524
85. cacm\CACM-2273.html score=0.19710524
86. cacm\CACM-2283.html score=0.19710524
87. cacm\CACM-2903.html score=0.19710524
88. cacm\CACM-3006.html score=0.19710524
89. cacm\CACM-1392.html score=0.18321247
90. cacm\CACM-2490.html score=0.18321247
91. cacm\CACM-2679.html score=0.18321247
92. cacm\CACM-2997.html score=0.18321247
93. cacm\CACM-1341.html score=0.17740844
94. cacm\CACM-1471.html score=0.17740844
95. cacm\CACM-1536.html score=0.17740844
96. cacm\CACM-1554.html score=0.17740844
97. cacm\CACM-1603.html score=0.17740844
98. cacm\CACM-1960.html score=0.17740844
99. cacm\CACM-2376.html score=0.17740844
100. cacm\CACM-2514.html score=0.17740844


parallel processor in information retrieval

1. cacm\CACM-2967.html score=0.7082254
2. cacm\CACM-0634.html score=0.5461165
3. cacm\CACM-2973.html score=0.5330611
4. cacm\CACM-1811.html score=0.51177335
5. cacm\CACM-0891.html score=0.41518122
6. cacm\CACM-2530.html score=0.40958735
7. cacm\CACM-2965.html score=0.40958735
8. cacm\CACM-2976.html score=0.40958735
9. cacm\CACM-3168.html score=0.40958735
10. cacm\CACM-2288.html score=0.40007916
11. cacm\CACM-1927.html score=0.38666227
12. cacm\CACM-2278.html score=0.37855646
13. cacm\CACM-2838.html score=0.35851765
14. cacm\CACM-2882.html score=0.35653657
15. cacm\CACM-1457.html score=0.35578042
16. cacm\CACM-2140.html score=0.35020137
17. cacm\CACM-1699.html score=0.34822118
18. cacm\CACM-1601.html score=0.34366482
19. cacm\CACM-3169.html score=0.34132278
20. cacm\CACM-2516.html score=0.3396688
21. cacm\CACM-1935.html score=0.3378923
22. cacm\CACM-2519.html score=0.32636416
23. cacm\CACM-3012.html score=0.32482263
24. cacm\CACM-1681.html score=0.31271085
25. cacm\CACM-2114.html score=0.3120005
26. cacm\CACM-2175.html score=0.30691025
27. cacm\CACM-1830.html score=0.30682305
28. cacm\CACM-2865.html score=0.29916105
29. cacm\CACM-1937.html score=0.29438117
30. cacm\CACM-0275.html score=0.28660002
31. cacm\CACM-0651.html score=0.28660002
32. cacm\CACM-2070.html score=0.28660002
33. cacm\CACM-2990.html score=0.28351814
34. cacm\CACM-1675.html score=0.27305824
35. cacm\CACM-2645.html score=0.27148092
36. cacm\CACM-2723.html score=0.26939452
37. cacm\CACM-2497.html score=0.26721078
38. cacm\CACM-2307.html score=0.2662603
39. cacm\CACM-1846.html score=0.26329422
40. cacm\CACM-2455.html score=0.26295358
41. cacm\CACM-1725.html score=0.2572509
42. cacm\CACM-1032.html score=0.25681505
43. cacm\CACM-2631.html score=0.25681505
44. cacm\CACM-1959.html score=0.2559755
45. cacm\CACM-1359.html score=0.25542647
46. cacm\CACM-2947.html score=0.2553496
47. cacm\CACM-1236.html score=0.2507608
48. cacm\CACM-2711.html score=0.2507608
49. cacm\CACM-1747.html score=0.24959369
50. cacm\CACM-1613.html score=0.24941622
51. cacm\CACM-0239.html score=0.24565716
52. cacm\CACM-0292.html score=0.24565716
53. cacm\CACM-1831.html score=0.24565716
54. cacm\CACM-2532.html score=0.24565716
55. cacm\CACM-2561.html score=0.24531764
56. cacm\CACM-2032.html score=0.23892593
57. cacm\CACM-2493.html score=0.23892593
58. cacm\CACM-1960.html score=0.23832633
59. cacm\CACM-2575.html score=0.23623443
60. cacm\CACM-1976.html score=0.23291053
61. cacm\CACM-2714.html score=0.2318515
62. cacm\CACM-2846.html score=0.23022163
63. cacm\CACM-1788.html score=0.22707391
64. cacm\CACM-3134.html score=0.22261603
65. cacm\CACM-2896.html score=0.22205634
66. cacm\CACM-2160.html score=0.22039233
67. cacm\CACM-1367.html score=0.21977878
68. cacm\CACM-1711.html score=0.21719776
69. cacm\CACM-2795.html score=0.21719776
70. cacm\CACM-1262.html score=0.21610773
71. cacm\CACM-0440.html score=0.20856614
72. cacm\CACM-1652.html score=0.20711954
73. cacm\CACM-1514.html score=0.20635842
74. cacm\CACM-1828.html score=0.20607825
75. cacm\CACM-2141.html score=0.20479368
76. cacm\CACM-2543.html score=0.20479368
77. cacm\CACM-2412.html score=0.2047143
78. cacm\CACM-2552.html score=0.2047143
79. cacm\CACM-2781.html score=0.2047143
80. cacm\CACM-1456.html score=0.20312296
81. cacm\CACM-2623.html score=0.20312296
82. cacm\CACM-2484.html score=0.202765
83. cacm\CACM-3135.html score=0.20197439
84. cacm\CACM-2451.html score=0.20110689
85. cacm\CACM-2722.html score=0.19743586
86. cacm\CACM-1108.html score=0.19457446
87. cacm\CACM-2377.html score=0.19457446
88. cacm\CACM-0406.html score=0.19209304
89. cacm\CACM-1527.html score=0.1893306
90. cacm\CACM-2991.html score=0.18778704
91. cacm\CACM-1680.html score=0.18740638
92. cacm\CACM-1194.html score=0.18609634
93. cacm\CACM-3075.html score=0.18597947
94. cacm\CACM-1742.html score=0.18540506
95. cacm\CACM-1530.html score=0.18354164
96. cacm\CACM-2388.html score=0.18319824
97. cacm\CACM-2650.html score=0.18319824
98. cacm\CACM-2746.html score=0.18319824
99. cacm\CACM-2895.html score=0.18130824
100. cacm\CACM-2266.html score=0.18030451
